tcpport;dpid
34576;['0000000000000101', '18:28:52.555715000']
34574;['0000000000000116', '18:28:52.554737000']
34368;['00000000000000b1', '18:28:49.108835000']
34430;['0000000000000093', '18:28:49.134753000']
34570;['0000000000000113', '18:28:52.554192000']
34552;['00000000000000f3', '18:28:52.548434000']
34530;['00000000000000dd', '18:28:52.542237000']
34578;['00000000000000fa', '18:28:52.556207000']
34408;['00000000000000c5', '18:28:49.125605000']
34442;['00000000000000bc', '18:28:49.138742000']
34208;['0000000000000074', '18:28:46.558028000']
34288;['0000000000000082', '18:28:46.580515000']
34440;['00000000000000c1', '18:28:49.138246000']
34232;['0000000000000062', '18:28:46.562791000']
34446;['00000000000000bb', '18:28:49.140521000']
34444;['000000000000009f', '18:28:49.140026000']
34200;['000000000000008a', '18:28:46.556370000']
34510;['00000000000000e1', '18:28:52.536528000']
34202;['0000000000000057', '18:28:46.556750000']
34204;['0000000000000055', '18:28:46.557037000']
34206;['000000000000004b', '18:28:46.557748000']
34360;['00000000000000b3', '18:28:49.104334000']
34268;['000000000000007a', '18:28:46.573520000']
34266;['000000000000006e', '18:28:46.572876000']
34264;['0000000000000087', '18:28:46.572238000']
34478;['00000000000000ef', '18:28:52.526284000']
34262;['0000000000000076', '18:28:46.571950000']
34260;['0000000000000068', '18:28:46.571442000']
34330;['00000000000000c8', '18:28:49.094033000']
34540;['00000000000000f0', '18:28:52.544889000']
34400;['00000000000000cc', '18:28:49.122639000']
34238;['000000000000007f', '18:28:46.564947000']
34586;['0000000000000110', '18:28:52.557761000']
34380;['00000000000000c0', '18:28:49.114467000']
34422;['00000000000000b8', '18:28:49.132483000']
34382;['00000000000000c2', '18:28:49.114752000']
34384;['00000000000000ca', '18:28:49.115037000']
34386;['00000000000000ce', '18:28:49.115488000']
34474;['0000000000000118', '18:28:52.525634000']
34564;['00000000000000ec', '18:28:52.552707000']
34518;['000000000000010d', '18:28:52.538885000']
34374;['00000000000000af', '18:28:49.111186000']
34146;['0000000000000031', '18:28:44.532215000']
34376;['00000000000000a6', '18:28:49.111685000']
34144;['0000000000000014', '18:28:44.531770000']
34370;['00000000000000ae', '18:28:49.109553000']
34142;['0000000000000021', '18:28:44.531315000']
34372;['00000000000000ac', '18:28:49.110768000']
34140;['000000000000001d', '18:28:44.530873000']
34476;['000000000000010a', '18:28:52.525907000']
34470;['00000000000000f9', '18:28:52.523943000']
34378;['0000000000000098', '18:28:49.112628000']
34472;['00000000000000e6', '18:28:52.524844000']
34148;['000000000000003f', '18:28:44.532667000']
