tcpport;dpid
36158;['0000000000000052', '19:06:53.022281000']
36488;['00000000000000f3', '19:07:11.510778000']
36492;['00000000000000fd', '19:07:11.510768000']
36484;['00000000000000f9', '19:07:11.495368000']
36380;['00000000000000c3', '19:07:02.390318000']
36486;['00000000000000f6', '19:07:11.495817000']
36480;['00000000000000fc', '19:07:11.492204000']
36458;['00000000000000eb', '19:07:09.360356000']
36482;['00000000000000f4', '19:07:11.493757000']
36088;['000000000000002e', '19:06:51.451190000']
36360;['00000000000000bb', '19:07:01.093563000']
36362;['00000000000000b2', '19:07:01.094003000']
36364;['00000000000000b5', '19:07:01.095070000']
36366;['00000000000000c4', '19:07:02.383279000']
36080;['0000000000000032', '19:06:51.449339000']
36368;['00000000000000c1', '19:07:02.384820000']
36082;['0000000000000036', '19:06:51.449765000']
36084;['0000000000000034', '19:06:51.450217000']
36086;['0000000000000035', '19:06:51.450681000']
36000;['0000000000000009', '19:06:49.744516000']
36002;['0000000000000005', '19:06:49.744860000']
36004;['000000000000000a', '19:06:49.745209000']
36006;['0000000000000003', '19:06:49.745573000']
36298;['0000000000000092', '19:06:57.582095000']
36008;['000000000000000b', '19:06:49.745924000']
36244;['0000000000000084', '19:06:55.844002000']
36242;['000000000000007c', '19:06:55.843471000']
36240;['0000000000000082', '19:06:55.842361000']
36162;['000000000000004f', '19:06:53.024019000']
36160;['0000000000000054', '19:06:53.023198000']
36166;['0000000000000056', '19:06:53.026115000']
36164;['0000000000000055', '19:06:53.025274000']
36412;['00000000000000da', '19:07:05.421580000']
36168;['000000000000005e', '19:06:53.626918000']
36416;['00000000000000d8', '19:07:05.422880000']
36414;['00000000000000d5', '19:07:05.422123000']
36498;['0000000000000104', '19:07:13.860407000']
36438;['00000000000000dd', '19:07:07.205680000']
36456;['00000000000000ea', '19:07:09.359370000']
36372;['00000000000000bf', '19:07:02.386584000']
36506;['0000000000000100', '19:07:13.868637000']
36370;['00000000000000c5', '19:07:02.385507000']
36376;['00000000000000c2', '19:07:02.388129000']
36374;['00000000000000c6', '19:07:02.387384000']
36522;['000000000000010c', '19:07:16.140501000']
36378;['00000000000000be', '19:07:02.389598000']
36328;['00000000000000aa', '19:06:59.738406000']
36404;['00000000000000cc', '19:07:03.855104000']
36358;['00000000000000b9', '19:07:01.093037000']
36406;['00000000000000cd', '19:07:03.856518000']
36278;['0000000000000090', '19:06:57.575409000']
36400;['00000000000000c9', '19:07:03.853576000']
36248;['000000000000007f', '19:06:55.845056000']
36402;['00000000000000ce', '19:07:03.854313000']
36272;['0000000000000085', '19:06:56.626479000']
36270;['000000000000008c', '19:06:56.624777000']
36408;['00000000000000c8', '19:07:03.858130000']
36276;['000000000000008f', '19:06:56.628175000']
36274;['000000000000008b', '19:06:56.627552000']
36074;['0000000000000028', '19:06:50.968554000']
36076;['0000000000000026', '19:06:50.969220000']
36178;['0000000000000059', '19:06:53.629295000']
36070;['0000000000000024', '19:06:50.967158000']
36072;['0000000000000029', '19:06:50.967808000']
36174;['000000000000005a', '19:06:53.628266000']
36176;['000000000000005d', '19:06:53.628792000']
36524;['000000000000010e', '19:07:16.141703000']
36170;['0000000000000060', '19:06:53.627450000']
36078;['000000000000002b', '19:06:50.969944000']
36172;['000000000000005f', '19:06:53.627880000']
