stamptime;link_number;link
18:25:06.935508000;182;0000000000000037-3<-->0000000000000038-00000002
18:25:06.814165000;25;0000000000000005-3<-->0000000000000006-00000002
18:25:06.934978000;166;0000000000000060-3<-->0000000000000061-00000002
18:25:06.859348000;124;000000000000002e-2<-->000000000000002d-00000003
18:25:06.775374000;10;0000000000000048-2<-->0000000000000047-00000003
18:25:06.859743000;133;0000000000000007-2<-->0000000000000006-00000003
18:25:06.813828000;15;000000000000005f-3<-->0000000000000060-00000002
18:25:06.933338000;158;0000000000000040-3<-->0000000000000041-00000002
18:25:06.860954000;142;0000000000000005-2<-->0000000000000004-00000003
18:25:06.933160000;157;000000000000004a-2<-->0000000000000049-00000003
18:25:06.936631000;198;0000000000000003-3<-->0000000000000004-00000002
18:25:06.775196000;7;000000000000003a-3<-->000000000000003b-00000002
18:25:06.860757000;136;000000000000005f-2<-->000000000000005e-00000003
18:25:06.858830000;110;0000000000000023-3<-->0000000000000024-00000002
18:25:06.815371000;55;0000000000000053-2<-->0000000000000052-00000003
18:25:06.935372000;178;000000000000000e-2<-->000000000000000d-00000003
18:25:06.813776000;14;000000000000001a-3<-->000000000000001b-00000002
18:25:06.815694000;66;0000000000000025-2<-->0000000000000024-00000003
18:25:06.816838000;95;000000000000005b-3<-->000000000000005c-00000002
18:25:06.815281000;52;0000000000000056-2<-->0000000000000055-00000003
18:25:06.860813000;138;000000000000001c-2<-->000000000000001b-00000003
18:25:06.860921000;141;0000000000000029-2<-->0000000000000028-00000003
18:25:06.816127000;79;000000000000005d-2<-->000000000000005c-00000003
18:25:06.935183000;172;0000000000000010-2<-->000000000000000f-00000003
18:25:06.814869000;40;000000000000003b-3<-->000000000000003c-00000002
18:25:06.935435000;180;000000000000001f-2<-->000000000000001e-00000003
18:25:06.815205000;50;0000000000000017-2<-->0000000000000016-00000003
18:25:06.861181000;148;000000000000005e-2<-->000000000000005d-00000003
18:25:06.859565000;129;0000000000000034-2<-->0000000000000033-00000003
18:25:06.815721000;67;0000000000000015-3<-->0000000000000016-00000002
18:25:06.935051000;168;000000000000002d-2<-->000000000000002c-00000003
18:25:06.935983000;191;000000000000002b-3<-->000000000000002c-00000002
18:25:06.816159000;80;0000000000000032-2<-->0000000000000031-00000003
18:25:06.935249000;174;0000000000000051-3<-->0000000000000052-00000002
18:25:06.816256000;83;000000000000004a-2<-->0000000000000049-00000003
18:25:06.934785000;163;0000000000000003-2<-->0000000000000002-00000003
18:25:06.859526000;128;0000000000000048-3<-->0000000000000049-00000002
18:25:06.932625000;152;0000000000000063-2<-->0000000000000062-00000003
18:25:06.814552000;34;0000000000000009-3<-->000000000000000a-00000002
18:25:06.814669000;36;000000000000002e-2<-->000000000000002d-00000003
18:25:06.816330000;85;0000000000000039-2<-->0000000000000038-00000003
18:25:06.858782000;109;000000000000001a-2<-->0000000000000019-00000003
18:25:06.856734000;106;0000000000000030-3<-->0000000000000031-00000002
18:25:06.815046000;45;0000000000000036-3<-->0000000000000037-00000002
18:25:06.859370000;125;000000000000002e-3<-->000000000000002f-00000002
18:25:06.933377000;159;0000000000000045-2<-->0000000000000044-00000003
