stamptime;link_number;link
18:13:27.839955000;15;0000000000000063-2<-->00:00:00:00:00:62-3
18:13:30.499099000;189;0000000000000009-3<-->00:00:00:00:00:0a-2
18:13:30.491205000;140;0000000000000036-2<-->00:00:00:00:00:35-3
18:13:30.176144000;69;0000000000000024-3<-->00:00:00:00:00:25-2
18:13:30.423530000;78;0000000000000005-2<-->00:00:00:00:00:04-3
18:13:30.499525000;198;0000000000000033-2<-->00:00:00:00:00:32-3
18:13:28.177861000;22;000000000000000f-3<-->00:00:00:00:00:10-2
18:13:26.895075000;5;0000000000000058-3<-->00:00:00:00:00:59-2
18:13:28.006157000;19;0000000000000039-3<-->00:00:00:00:00:3a-2
18:13:30.432099000;114;000000000000004d-3<-->00:00:00:00:00:4e-2
18:13:26.385028000;2;0000000000000019-3<-->00:00:00:00:00:1a-2
18:13:30.499057000;188;0000000000000054-3<-->00:00:00:00:00:55-2
18:13:29.429909000;50;0000000000000030-3<-->00:00:00:00:00:31-2
18:13:30.424098000;81;000000000000003b-2<-->00:00:00:00:00:3a-3
18:13:28.672841000;35;0000000000000036-2<-->00:00:00:00:00:35-3
18:13:29.265943000;45;000000000000002b-3<-->00:00:00:00:00:2c-2
18:13:30.490132000;138;0000000000000028-3<-->00:00:00:00:00:29-2
18:13:30.493178000;149;000000000000000a-2<-->00:00:00:00:00:09-3
18:13:30.494294000;158;000000000000005d-3<-->00:00:00:00:00:5e-2
18:13:28.441759000;28;000000000000005c-3<-->00:00:00:00:00:5d-2
18:13:30.424534000;85;0000000000000010-2<-->00:00:00:00:00:0f-3
18:13:28.514800000;31;0000000000000060-2<-->00:00:00:00:00:5f-3
18:13:30.498799000;182;0000000000000035-2<-->00:00:00:00:00:34-3
18:13:27.925604000;16;0000000000000036-3<-->00:00:00:00:00:37-2
18:13:30.498990000;186;000000000000004e-2<-->00:00:00:00:00:4d-3
18:13:30.498022000;177;0000000000000038-2<-->00:00:00:00:00:37-3
18:13:30.423787000;79;0000000000000030-2<-->00:00:00:00:00:2f-3
18:13:30.493789000;154;0000000000000057-2<-->00:00:00:00:00:56-3
18:13:29.313347000;47;000000000000002e-2<-->00:00:00:00:00:2d-3
18:13:30.352914000;72;0000000000000028-2<-->00:00:00:00:00:27-3
18:13:30.440679000;132;0000000000000025-3<-->00:00:00:00:00:26-2
18:13:26.850412000;3;000000000000000a-3<-->00:00:00:00:00:0b-2
18:13:30.429238000;107;0000000000000024-2<-->00:00:00:00:00:23-3
18:13:30.432718000;116;000000000000002e-2<-->00:00:00:00:00:2d-3
18:13:30.496782000;169;000000000000002a-3<-->00:00:00:00:00:2b-2
18:13:30.497385000;172;000000000000004d-2<-->00:00:00:00:00:4c-3
18:13:30.426190000;99;0000000000000002-2<-->00:00:00:00:00:01-2
18:13:30.425370000;93;0000000000000031-2<-->00:00:00:00:00:30-3
18:13:30.435423000;121;0000000000000051-2<-->00:00:00:00:00:50-3
18:13:29.762107000;58;000000000000002b-2<-->00:00:00:00:00:2a-3
18:13:29.981230000;62;000000000000004e-2<-->00:00:00:00:00:4d-3
18:13:29.760464000;57;0000000000000029-3<-->00:00:00:00:00:2a-2
18:13:30.424352000;83;0000000000000003-3<-->00:00:00:00:00:04-2
18:13:30.495070000;160;000000000000000b-2<-->00:00:00:00:00:0a-3
18:13:30.435682000;122;000000000000004f-3<-->00:00:00:00:00:50-2
18:13:30.499446000;197;0000000000000034-2<-->00:00:00:00:00:33-3
18:13:30.425798000;95;0000000000000026-2<-->00:00:00:00:00:25-3
18:13:28.215319000;23;0000000000000011-2<-->00:00:00:00:00:10-3
18:13:28.985710000;40;0000000000000004-2<-->00:00:00:00:00:03-3
18:13:30.497764000;175;0000000000000062-2<-->00:00:00:00:00:61-3
18:13:29.983242000;63;000000000000004c-3<-->00:00:00:00:00:4d-2
18:13:30.494122000;157;0000000000000059-2<-->00:00:00:00:00:58-3
18:13:30.420314000;73;0000000000000048-3<-->00:00:00:00:00:49-2
18:13:30.496237000;165;0000000000000031-3<-->00:00:00:00:00:32-2
18:13:30.432960000;117;000000000000004f-2<-->00:00:00:00:00:4e-3
18:13:30.431532000;112;0000000000000037-3<-->00:00:00:00:00:38-2
18:13:30.429305000;108;000000000000000b-3<-->00:00:00:00:00:0c-2
18:13:30.440122000;131;0000000000000012-2<-->00:00:00:00:00:11-3
18:13:28.440123000;27;000000000000005e-2<-->00:00:00:00:00:5d-3
18:13:30.430170000;109;000000000000000d-2<-->00:00:00:00:00:0c-3
18:13:30.097576000;66;000000000000004e-3<-->00:00:00:00:00:4f-2
18:13:30.499328000;194;0000000000000048-3<-->00:00:00:00:00:49-2
18:13:29.586656000;54;0000000000000051-3<-->00:00:00:00:00:52-2
18:13:30.352812000;71;0000000000000026-3<-->00:00:00:00:00:27-2
18:13:30.433928000;118;0000000000000014-2<-->00:00:00:00:00:13-3
18:13:30.432038000;113;000000000000002c-3<-->00:00:00:00:00:2d-2
18:13:30.491546000;142;0000000000000033-3<-->00:00:00:00:00:34-2
18:13:30.436051000;123;000000000000005a-3<-->00:00:00:00:00:5b-2
18:13:30.498939000;185;0000000000000005-3<-->00:00:00:00:00:06-2
18:13:28.624483000;33;0000000000000062-2<-->00:00:00:00:00:61-3
18:13:30.498862000;184;0000000000000029-3<-->00:00:00:00:00:2a-2
18:13:27.403867000;9;0000000000000028-3<-->00:00:00:00:00:29-2
18:13:30.059712000;65;0000000000000050-2<-->00:00:00:00:00:4f-3
18:13:30.432521000;115;0000000000000023-2<-->00:00:00:00:00:22-3
18:13:30.426278000;100;000000000000000e-2<-->00:00:00:00:00:0d-3
18:13:30.497827000;176;0000000000000062-3<-->00:00:00:00:00:63-2
18:13:30.440016000;130;0000000000000028-2<-->00:00:00:00:00:27-3
18:13:30.428665000;104;000000000000004e-3<-->00:00:00:00:00:4f-2
18:13:30.242376000;70;0000000000000025-3<-->00:00:00:00:00:26-2
18:13:30.435042000;120;0000000000000012-3<-->00:00:00:00:00:13-2
18:13:30.497232000;171;000000000000002c-2<-->00:00:00:00:00:2b-3
18:13:28.962482000;39;0000000000000005-2<-->00:00:00:00:00:04-3
18:13:30.120924000;68;0000000000000024-2<-->00:00:00:00:00:23-3
18:13:30.498711000;180;000000000000005f-3<-->00:00:00:00:00:60-2
18:13:30.427998000;102;0000000000000001-2<-->00:00:00:00:00:02-2
