2018-09-26 01:32:04,312;TSHARK;34;000000000000000f-2<-->00:00:00:00:00:0e-3
2018-09-26 01:32:04,315;TSHARK;35;000000000000000d-3<-->00:00:00:00:00:0e-2
2018-09-26 01:32:04,320;TSHARK;36;0000000000000025-2<-->00:00:00:00:00:24-3
2018-09-26 01:32:04,339;TSHARK;37;0000000000000023-3<-->00:00:00:00:00:24-2
2018-09-26 01:32:04,342;TSHARK;38;0000000000000026-3<-->00:00:00:00:00:27-2
2018-09-26 01:32:04,343;TSHARK;39;000000000000001e-3<-->00:00:00:00:00:1f-2
2018-09-26 01:32:04,344;TSHARK;40;0000000000000006-2<-->00:00:00:00:00:05-3
2018-09-26 01:32:04,348;TSHARK;41;0000000000000007-2<-->00:00:00:00:00:06-3
2018-09-26 01:32:04,368;TSHARK;42;0000000000000004-3<-->00:00:00:00:00:05-2
2018-09-26 01:32:04,371;TSHARK;43;000000000000002c-2<-->00:00:00:00:00:2b-3
2018-09-26 01:32:04,374;TSHARK;44;0000000000000020-2<-->00:00:00:00:00:1f-3
2018-09-26 01:32:04,377;TSHARK;45;000000000000001f-3<-->00:00:00:00:00:20-2
2018-09-26 01:32:04,379;TSHARK;46;0000000000000008-2<-->00:00:00:00:00:07-3
2018-09-26 01:32:04,381;TSHARK;47;000000000000000f-3<-->00:00:00:00:00:10-2
2018-09-26 01:32:04,405;TSHARK;48;0000000000000005-3<-->00:00:00:00:00:06-2
2018-09-26 01:32:04,421;TSHARK;49;000000000000002b-3<-->00:00:00:00:00:2c-2
2018-09-26 01:32:04,423;TSHARK;50;0000000000000006-3<-->00:00:00:00:00:07-2
2018-09-26 01:32:04,426;TSHARK;51;0000000000000021-2<-->00:00:00:00:00:20-3
2018-09-26 01:32:04,429;TSHARK;52;0000000000000011-2<-->00:00:00:00:00:10-3
2018-09-26 01:32:04,452;TSHARK;53;0000000000000009-2<-->00:00:00:00:00:08-3
2018-09-26 01:32:04,474;TSHARK;54;0000000000000007-3<-->00:00:00:00:00:08-2
2018-09-26 01:32:04,476;TSHARK;55;0000000000000022-3<-->00:00:00:00:00:23-2
2018-09-26 01:32:04,481;TSHARK;56;0000000000000024-2<-->00:00:00:00:00:23-3
2018-09-26 01:32:04,513;TSHARK;57;000000000000000a-3<-->00:00:00:00:00:0b-2
2018-09-26 01:32:04,517;TSHARK;58;000000000000000c-2<-->00:00:00:00:00:0b-3
2018-09-26 01:32:04,543;TSHARK;59;0000000000000020-3<-->00:00:00:00:00:21-2
2018-09-26 01:32:04,548;TSHARK;60;0000000000000022-2<-->00:00:00:00:00:21-3
2018-09-26 01:32:04,598;TSHARK;61;000000000000000c-3<-->00:00:00:00:00:0d-2
2018-09-26 01:32:04,599;TSHARK;62;0000000000000009-3<-->00:00:00:00:00:0a-2
2018-09-26 01:32:04,601;TSHARK;63;000000000000000b-2<-->00:00:00:00:00:0a-3
2018-09-26 01:32:04,721;TSHARK;64;000000000000000b-3<-->00:00:00:00:00:0c-2
2018-09-26 01:32:04,723;TSHARK;65;000000000000001d-3<-->00:00:00:00:00:1e-2
2018-09-26 01:32:04,725;TSHARK;66;0000000000000002-2<-->00:00:00:00:00:01-2
2018-09-26 01:32:04,729;TSHARK;67;0000000000000010-3<-->00:00:00:00:00:11-2
2018-09-26 01:32:04,729;TSHARK;68;0000000000000025-3<-->00:00:00:00:00:26-2
2018-09-26 01:32:04,730;TSHARK;69;0000000000000027-2<-->00:00:00:00:00:26-3
2018-09-26 01:32:04,731;TSHARK;70;000000000000000a-2<-->00:00:00:00:00:09-3
2018-09-26 01:32:04,736;TSHARK;71;000000000000000e-2<-->00:00:00:00:00:0d-3
2018-09-26 01:32:04,748;TSHARK;72;000000000000001f-2<-->00:00:00:00:00:1e-3
2018-09-26 01:32:04,749;TSHARK;73;0000000000000008-3<-->00:00:00:00:00:09-2
2018-09-26 01:32:04,750;TSHARK;74;000000000000000d-2<-->00:00:00:00:00:0c-3
2018-09-26 01:32:04,752;TSHARK;75;0000000000000026-2<-->00:00:00:00:00:25-3
2018-09-26 01:32:04,753;TSHARK;76;0000000000000005-2<-->00:00:00:00:00:04-3
2018-09-26 01:32:04,755;TSHARK;77;0000000000000024-3<-->00:00:00:00:00:25-2
2018-09-26 01:32:04,756;TSHARK;78;000000000000001e-2<-->00:00:00:00:00:1d-3
2018-09-26 01:32:04,765;TSHARK;79;0000000000000001-2<-->00:00:00:00:00:02-2
2018-09-26 01:32:04,767;TSHARK;80;0000000000000003-3<-->00:00:00:00:00:04-2
2018-09-26 01:32:04,770;TSHARK;81;0000000000000003-2<-->00:00:00:00:00:02-3
2018-09-26 01:32:05,286;TSHARK;82;0000000000000017-3<-->00:00:00:00:00:18-2
2018-09-26 01:32:05,304;TSHARK;83;0000000000000017-2<-->00:00:00:00:00:16-3
2018-09-26 01:32:05,306;TSHARK;84;0000000000000015-3<-->00:00:00:00:00:16-2
2018-09-26 01:32:05,787;TSHARK;85;000000000000001a-2<-->00:00:00:00:00:19-3
2018-09-26 01:32:05,789;TSHARK;86;0000000000000018-3<-->00:00:00:00:00:19-2
2018-09-26 01:32:05,824;TSHARK;87;000000000000002c-3<-->00:00:00:00:00:2d-2
2018-09-26 01:32:05,830;TSHARK;88;000000000000002e-2<-->00:00:00:00:00:2d-3
2018-09-26 01:32:06,275;TSHARK;89;000000000000001a-3<-->00:00:00:00:00:1b-2
2018-09-26 01:32:06,295;TSHARK;90;000000000000002e-3<-->00:00:00:00:00:2f-2
