stamptime;link_number;link
18:33:52.292720000;190;0000000000000060-3<-->00:00:00:00:00:61-0002
18:33:52.287541000;157;000000000000001f-3<-->00:00:00:00:00:20-0002
18:33:52.170477000;97;0000000000000052-2<-->00:00:00:00:00:51-0003
18:33:51.516413000;47;0000000000000042-3<-->00:00:00:00:00:43-0002
18:33:51.041490000;10;0000000000000045-2<-->00:00:00:00:00:44-0003
18:33:51.603560000;77;000000000000003c-3<-->00:00:00:00:00:3d-0002
18:33:52.231058000;130;000000000000001e-2<-->00:00:00:00:00:1d-0003
18:33:51.515625000;46;0000000000000044-2<-->00:00:00:00:00:43-0003
18:33:52.228405000;116;0000000000000033-3<-->00:00:00:00:00:34-0002
18:33:52.288961000;171;0000000000000014-2<-->00:00:00:00:00:13-0003
18:33:52.286925000;151;0000000000000061-2<-->00:00:00:00:00:60-0003
18:33:52.288584000;164;0000000000000041-3<-->00:00:00:00:00:42-0002
18:33:52.291264000;181;000000000000001b-2<-->00:00:00:00:00:1a-0003
18:33:51.340861000;23;0000000000000012-3<-->00:00:00:00:00:13-0002
18:33:52.289432000;174;0000000000000038-2<-->00:00:00:00:00:37-0003
18:33:52.286669000;148;0000000000000047-3<-->00:00:00:00:00:48-0002
18:33:51.040568000;8;0000000000000002-3<-->00:00:00:00:00:03-0002
18:33:52.291824000;185;000000000000003f-2<-->00:00:00:00:00:3e-0003
18:33:52.286130000;144;000000000000002e-3<-->00:00:00:00:00:2f-0002
18:33:52.229099000;119;000000000000002d-2<-->00:00:00:00:00:2c-0003
18:33:51.600929000;62;0000000000000026-3<-->00:00:00:00:00:27-0002
18:33:51.094535000;16;000000000000005a-3<-->00:00:00:00:00:5b-0002
18:33:52.229954000;123;000000000000000f-3<-->00:00:00:00:00:10-0002
18:33:51.602090000;70;0000000000000056-3<-->00:00:00:00:00:57-0002
18:33:52.288921000;170;0000000000000014-3<-->00:00:00:00:00:15-0002
18:33:52.230644000;125;0000000000000032-2<-->00:00:00:00:00:31-0003
18:33:52.291306000;182;000000000000001b-3<-->00:00:00:00:00:1c-0002
18:33:52.224895000;106;000000000000001a-2<-->00:00:00:00:00:19-0003
18:33:52.288148000;162;0000000000000039-3<-->00:00:00:00:00:3a-0002
18:33:51.601725000;68;0000000000000007-2<-->00:00:00:00:00:06-0003
18:33:52.230111000;124;0000000000000037-3<-->00:00:00:00:00:38-0002
18:33:51.093057000;11;0000000000000058-2<-->00:00:00:00:00:57-0003
18:33:52.162177000;81;0000000000000036-2<-->00:00:00:00:00:35-0003
18:33:52.294641000;192;0000000000000020-2<-->00:00:00:00:00:1f-0003
18:33:52.292038000;188;0000000000000062-2<-->00:00:00:00:00:61-0003
18:33:51.564714000;56;0000000000000001-2<-->00:00:00:00:00:02-0002
18:33:52.162426000;82;0000000000000017-3<-->00:00:00:00:00:18-0002
18:33:52.170986000;98;0000000000000021-3<-->00:00:00:00:00:22-0002
18:33:51.561300000;48;0000000000000030-2<-->00:00:00:00:00:2f-0003
18:33:52.291855000;186;000000000000003f-3<-->00:00:00:00:00:40-0002
18:33:51.563807000;55;0000000000000016-3<-->00:00:00:00:00:17-0002
18:33:52.291984000;187;0000000000000020-3<-->00:00:00:00:00:21-0002
18:33:51.514829000;45;0000000000000006-3<-->00:00:00:00:00:07-0002
18:33:51.342789000;27;0000000000000029-2<-->00:00:00:00:00:28-0003
18:33:52.228207000;114;0000000000000048-2<-->00:00:00:00:00:47-0003
18:34:01.534909000;196;000000000000000a-2<-->00:00:00:00:00:09-0003
18:33:51.344558000;34;000000000000005c-2<-->00:00:00:00:00:5b-0003
18:33:52.288026000;160;000000000000004b-3<-->00:00:00:00:00:4c-0002
18:33:51.601246000;65;000000000000004e-3<-->00:00:00:00:00:4f-0002
18:33:52.169421000;94;0000000000000050-3<-->00:00:00:00:00:51-0002
18:33:52.226848000;109;0000000000000023-2<-->00:00:00:00:00:22-0003
18:33:52.226765000;108;000000000000005f-2<-->00:00:00:00:00:5e-0003
18:33:52.287415000;155;0000000000000008-2<-->00:00:00:00:00:07-0003
18:33:52.169480000;95;0000000000000050-2<-->00:00:00:00:00:4f-0003
